date|time|description|vendor|amount
2025-08-14|08:52:40|Pizza|Uno|-15.99
2026-03-26|05:34:33|Ipad|BestBuy|-599.99
2026-04-27|04:06:21|Pay Check|Amazon|516.67
2026-04-27|04:09:32|Borrowed Money|Sana|400.00
2026-04-27|04:29:14|Wisely|YearUp|100.00
2026-04-27|05:01:46|Morning Coffee|Dunkin'|-4.59
2026-04-27|05:06:47|gift|mom|50.00
2026-04-27|05:09:20|Monster Energy Drink|Vending machine|-3.45
2026-04-28|08:44:49|morning coffee|starbucks|-5.00
2026-04-28|10:05:50|suit|jcPennys|-120.00
2026-04-28|10:13:25|gift|Family|10000.00
2026-04-28|10:41:29|paycheck|amazon|780.00
